DATE,Net Asset Value (TZS),Outstanding Number of Units,NAV per Unit (TZS),Sale Price Per Unit (TZS),Repurchase Price Per Unit (TZS)
20-01-2026,38967044738,320079655,121.7317,121.7317,121.7317
19-01-2026,38631602563,317411081,121.6984,121.6984,121.6984
16-01-2026,38091144724,313285580,121.576,121.576,121.576
15-01-2026,37826928104,311180085,121.5496,121.5496,121.5496
14-01-2026,37699960464,310222955,121.5154,121.5154,121.5154
13-01-2026,37577996780,309298432,121.4843,121.4843,121.4843
01/09/2026,36897221385,303982017,121.3696,121.3696,121.3696
01/08/2026,36810786069,303378953,121.326,121.326,121.326
01/07/2026,36380601644,299902287,121.2982,121.2982,121.2982
01/06/2026,35936796327,296347424,121.2558,121.2558,121.2558
01/05/2026,35182429787,290209012,121.2214,121.2214,121.2214
01/02/2026,34400148702,283969934,121.1302,121.1302,121.1302
31-12-2025,33882447121,279849878,121.0637,121.0637,121.0637
30-12-2025,34079232020,281567209,121.0241,121.0241,121.0241
29-12-2025,33899674797,280174758,120.9848,120.9848,120.9848
24-12-2025,33583602776,277840375,120.8638,120.8638,120.8638
23-12-2025,33225861729,274957604,120.83,120.83,120.83
22-12-2025,33128670604,274226985,120.7975,120.7975,120.7975
19-12-2025,32061184612,265624058,120.6914,120.6914,120.6914
18-12-2025,31428186510,264472292,118.8238,118.8238,118.8238
17-12-2025,31260419285,263116831,118.7984,118.7984,118.7984
16-12-2025,30963387899,260735791,118.7441,118.7441,118.7441
15-12-2025,31334854175,263971235,118.6958,118.6958,118.6958
12/12/2025,31269972829,263699856,118.5719,118.5719,118.5719
12/11/2025,31186746304,263087017,118.5318,118.5318,118.5318
12/10/2025,31212197387,263375649,118.4985,118.4985,118.4985
12/08/2025,31094861794,262633444,118.3867,118.3867,118.3867
12/05/2025,30974198466,261861804,118.2748,118.2748,118.2748
12/04/2025,30793679084,260496017,118.202,118.202,118.202
12/03/2025,31126376013,263428133,118.1492,118.1492,118.1492
12/02/2025,31020916660,262642257,118.1012,118.1012,118.1012
12/01/2025,30805202486,260892842,118.0664,118.0664,118.0664
28-11-2025,30640193619,259770009,117.9415,117.9415,117.9415
27-11-2025,30533837058,258979620,117.8908,117.8908,117.8908
26-11-2025,30506300491,258818487,117.8579,117.8579,117.8579
25-11-2025,30592563684,259672153,117.8026,117.8026,117.8026
24-11-2025,30639262019,260162136,117.7602,117.7602,117.7602
21-11-2025,30565262039,259811005,117.6345,117.6345,117.6345
20-11-2025,30525687955,259570521,117.5911,117.5911,117.5911
19-11-2025,30478454357,259277163,117.542,117.542,117.542
18-11-2025,30305907525,257936063,117.4842,117.4842,117.4842
17-11-2025,30098506069,256275674,117.4362,117.4362,117.4362
14-11-2025,30300686132,258274540,117.31,117.31,117.31
13-11-2025,30213761760,257619901,117.2707,117.2707,117.2707
11/12/2025,30113304691,256857221,117.2279,117.2279,117.2279
11/11/2025,30048022967,256399565,117.1825,117.1825,117.1825
11/10/2025,29972728409,255835408,117.1467,117.1467,117.1467
11/07/2025,29932357432,255776140,117.016,117.016,117.016
11/06/2025,29854252315,255240153,116.9557,116.9557,116.9557
11/05/2025,29842786944,255248036,116.9072,116.9072,116.9072
11/04/2025,29434455127,251831676,116.8719,116.8719,116.8719
28-10-2025,29321904844,251462483,116.5959,116.5959,116.5959
27-10-2025,29175043281,250315562,116.5435,116.5435,116.5435
24-10-2025,29100092611,249946069,116.4159,116.4159,116.4159
23-10-2025,29029167768,249475993,116.351,116.351,116.351
22-10-2025,28937559022,248890975,116.2564,116.2564,116.2564
21-10-2025,28097727182,241903924,116.1429,116.1429,116.1429
20-10-2025,27994210885,241120864,116.0908,116.0908,116.0908
17-10-2025,26916787246,232083269,115.9695,115.9695,115.9695
16-10-2025,26893000620,231973354,115.9219,115.9219,115.9219
